group,date,player_normalized,amount,folder,note
adj1790268045-1,2026-09-23,ryan,190.00,,Payment within game to kobe of 190
adj1790268072-2,2026-09-23,kobe,-190.00,,Payment from ryan within game to settle debt of 190
