player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"Neel",8lYTYy2ypo,2026-04-18T01:12:39.676Z,2026-04-18T01:28:43.318Z,1000,0,0,-1000
"Kobe",ylQElkTwQX,2026-04-18T00:56:33.513Z,2026-04-18T01:28:51.919Z,2000,801,0,-1199
"Tommy",kxLyCI4zWO,2026-04-18T00:27:24.271Z,,2000,,2602,602
"Sab",pyplNSo_Ol,2026-04-18T00:22:03.069Z,2026-04-18T00:26:36.581Z,500,0,0,-500
"Rayan",nhXZL_Cydv,2026-04-18T00:21:35.000Z,,2000,,2535,535
"Gabe",2ethfTEhxK,2026-04-18T00:20:39.516Z,2026-04-18T01:16:49.043Z,2000,9562,0,7562
"rowan",GthBpPSqaK,2026-04-18T00:20:39.512Z,2026-04-18T00:50:39.389Z,2000,0,0,-2000
"Kobe",ylQElkTwQX,2026-04-18T00:20:39.505Z,2026-04-18T00:43:42.061Z,4000,0,0,-4000
