player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,nit_escrow,net
"Gabe",qfbDrPVgXl,2026-09-13T01:46:05.549Z,,4000,,18334,0,14334
"sack",TRePQx5a-J,2026-09-13T01:30:16.938Z,2026-09-13T02:17:22.050Z,4296,0,0,0,-4296
"isaac",XDXM51L_w8,2026-09-13T01:05:47.346Z,2026-09-13T01:30:16.934Z,2000,4296,0,0,2296
"Mr Bink",6D7s410Ucp,2026-09-13T00:41:52.085Z,2026-09-13T03:13:56.862Z,2000,0,0,0,-2000
"R Y A N",GO72Iwd2XL,2026-09-13T00:40:22.550Z,,6000,,1760,0,-4240
"jahan",V25SP3U6Z5,2026-09-13T00:23:42.636Z,2026-09-13T01:56:04.071Z,10500,0,0,0,-10500
"rowan",GthBpPSqaK,2026-09-13T00:23:42.634Z,,2000,,6406,0,4406
